"*RESPNUM","CCGID","RUNID","INTDATE","EGYPTAIR","DAY","GATE","BAREA","STRATA","PEAK","METHOD","SAQ","AIRLINE","DESTINATION","FLIGHT","AIRLINE CODE","DEST CODE","DESTGEO","DESTMARK","ARRTIME","DEPTIME","HOWLONG","Q2PURP1","Q2PURP2","Q2PURP3","Q3GETTO1","Q3GETTO2","Q3GETTO3","Q3PARK","Q4BAGS","Q4STORE","Q4FOOD","Q4WIFI","Q5TIMESFLOWN","Q5FIRSTTIME","Q6LONGUSE","Q7ART","Q7FOOD","Q7STORE","Q7SIGN","Q7WALKWAYS","Q7SCREENS","Q7INFODOWN","Q7INFOUP","Q7WIFI","Q7ROADS","Q7PARK","Q7AIRTRAIN","Q7LTPARKING","Q7RENTAL","Q7ALL","Q8COM","Q8COM2","Q8COM3","Q8COM4","Q8COM5","Q9BOARDING","Q9AIRTRAIN","Q9RENTAL","Q9FOOD","Q9RESTROOM","Q9ALL","Q9COM","Q9COM2","Q9COM3","Q10SAFE","Q10COM1","Q10COM2","Q10COM3","Q11TSAPRE","Q12PRECHECKRATE","Q12PRECOM1","Q12PRECOM2","Q12PRECOM3","Q13 COUNTY","Q13GETRATE","Q14FIND","Q14PASSTHRU","Q15PROBLEM","Q15COM1","Q15COM2","Q15COM3","Q16LIVE","Q17CITY","Q17STATE","Q17ZIP","Q17COUNTRY","HOME","Q18PET","Q19AGE","Q20GENDER","Q21INCME","Q22FLY","Q23SJC","Q23OAK","LANG","WEIGHT"
"17","84","610","42501","1","4","42","C","3","2","1","2","DELTA","SALT LAKE CITY","2800","15","54","1","2","14:30:00","18:05:00","215","5","","","4","","","","1","1","1","1","1","2","1","6","2","4","4","6","6","2","2","5","6","6","6","6","6","3","202","215","","","","5","6","6","5","5","5","0","","","5","0","","","2","","","","","5","3","3","2","2","","","","3","HILL AIR FORCE BASE","UT","84056","UNITED STATES","10","1","18-24","0","2","2","2","2","1","1.0455967741935"
"70","40","576","42499","1","2","26","B","3","2","1","2","SOUTHWEST","LOS ANGELES","2034","25","34","1","4","15:15:00","17:05:00","110","2","","","9","","","","1","1","1","2","1","2","1","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","0","","","","","4","4","4","4","4","4","0","","","3","0","","","2","","","","","5","3","5","5","2","","","","3","ST LOUIS","MO","","UNITED STATES","11","1","25-34","0","1","2","2","2","1","0.8875125"
"1512","1992","745","42505","1","1","12","A","3","2","1","2","JETBLUE","LONG BEACH","1635","20","33","1","1","16:30:00","18:35:00","125","2","","","9","","","","1","2","2","2","1","1","2","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","0","","","","","5","5","5","5","4","5","0","","","5","0","","","3","","","","","5","5","5","5","2","","","","3","HAWTHORNE","CA","90250","UNITED STATES","10","1","25-34","0","1","2","2","2","1","0.3557037037037"
"1932","1869","759","42506","1","2","91","G","3","3","1","2","UNITED INTL","TOKYO-HANEDA","875","29","65","8","4","18:00:00","19:20:00","80","2","","","3","","","","2","2","2","2","1","2","1","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","0","","","","","4","4","4","4","4","4","0","","","3","10","","","4","","","","","11","6","4","6","2","","","","3","MESA","AZ","85212","UNITED STATES","10","1","25-34","0","1","2","2","2","1","0.91742168674699"
"2408","2734","514","42496","1","6","54","D","2","2","1","2","VIRGIN AMERICA","LOS ANGELES","932","30","34","1","4","14:30:00","16:30:00","120","1","","","5","","","","2","0","1","0","2","1","4","5","5","5","5","5","5","5","5","5","6","6","6","6","6","5","0","","","","","5","5","5","5","5","5","0","","","3","0","","","1","5","0","","","0","5","5","5","0","","","","3","NEW YORK CITY","NY","","UNITED STATES","12","1","25-34","0","2","3","2","2","1","1.0005296442688"
"48","56","578","42499","1","2","30","B","3","2","1","2","SOUTHWEST","LAS VEGAS","1307","25","30","1","4","17:30:00","19:10:00","100","2","","","5","","","","2","2","1","2","1","2","1","2","3","6","3","6","6","6","6","6","3","6","6","6","6","3","0","","","","","3","6","6","3","3","3","0","","","3","0","","","2","","","","","5","3","4","5","1","5","","","3","LAS VEGAS","NV","","UNITED STATES","10","1","25-34","0","2","2","2","2","1","0.8875125"
"2863","1098","856","42513","2","2","9","A","2","3","1","1","CHINA EASTERN","SHANGHAI","590","13","62","8","4","10:00:00","12:00:00","120","2","3","","5","","","","1","1","1","1","1","1","2","3","4","4","4","5","4","4","4","1","5","6","5","6","3","5","501","202","","","","5","5","4","5","4","5","0","","","4","5","","","2","","","","","1","3","5","4","2","","","","1","OAKLAND","CA","94618","UNITED STATES","3","1","25-34","0","4","2","2","2","1","0.97551767151767"
"2165","3052","525","42497","1","7","9","A","3","3","1","1","BRITISH AIRWAYS","LONDON-HEATHROW","286","12","32","6","4","14:00:00","19:15:00","315","2","","","5","","","","1","1","1","1","1","2","1","4","2","5","5","5","5","5","5","5","6","6","6","6","6","5","999","","","","","5","6","6","5","5","5","1","","","5","5","","","0","","","","","0","5","5","5","2","","","","3","","","","GERMANY","15","1","25-34","0","0","2","2","2","1","0.97551767151767"
"157","230","733","42504","1","7","87","F","3","2","1","2","UNITED","HONOLULU","1670","28","26","1","2","16:30:00","19:00:00","150","5","","","3","","","","0","0","1","1","2","1","2","5","5","4","5","5","5","6","6","5","5","6","5","6","6","5","8","","","","","5","4","6","5","4","4","0","","","5","0","","","2","","","","","11","0","5","6","2","","","","3","","MA","","UNITED STATES","12","1","25-34","0","0","4","1","1","1","1.757875"
"583","623","828","42511","2","7","92","G","2","3","1","2","AIR CANADA","TORONTO","738","3","67","4","4","8:45:00","11:35:00","170","1","","","5","","","","2","2","2","2","4","1","2","6","4","5","5","4","4","6","6","4","6","6","6","6","6","4","0","","","","","4","6","6","5","4","4","0","","","5","21","","","2","","","","","7","5","5","4","2","","","","1","SUNNYVALE","CA","","UNITED STATES","4","1","25-34","0","0","2","1","2","1","0.2510956937799"
